iter	Passed	Remaining
0	1	113
1	2	105
2	3	101
3	3	93
4	4	92
5	5	89
6	6	89
7	7	89
8	8	87
9	9	85
10	10	85
11	11	83
12	12	81
13	13	79
14	13	78
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	40	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	38
56	50	37
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	73	14
84	75	13
85	75	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	8
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	86	1
98	87	0
99	88	0
